"name","class","player_id","season","number","position","player_url"
"Brooks, Cole","So","1867051",2018,"9","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1867051"
"Burke, Andrew","Fr","1997732",2018,"2","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1997732"
"Clyde, Derrek","Jr","1867046",2018,"1","UT","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1867046"
"Crossan, Jacob","Fr","1997734",2018,"16","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1997734"
"Eding, Gerrit","So","1751771",2018,"25","1B","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1751771"
"Faunce, Tristan","Fr","1867052",2018,"10","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1867052"
"Feinauer, Brian","Sr","1646550",2018,"23","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1646550"
"Fitzgibbon, Adam","Jr","1646551",2018,"11","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1646551"
"Fritz, Eric","Fr","1997735",2018,"20","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1997735"
"Godfrey, Amani","So","1867047",2018,"4","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1867047"
"Green, Griffen","So","1997746",2018,"8","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1997746"
"Jebbia, Grant","Fr","1997738",2018,"30","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1997738"
"Jones, Quincy","Fr","1997739",2018,"34","1B","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1997739"
"Justin, Alec","Jr","1997749",2018,"38","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1997749"
"Koin, Austin","So","1867049",2018,"7","UT","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1867049"
"Mahanti, Ravi","Jr","1751772",2018,"32","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1751772"
"Malgi, Matt","So","1646558",2018,"18","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1646558"
"Marais, Dean","Jr","1997747",2018,"22","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1997747"
"Millhisler, Alex","So","1867067",2018,"35","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1867067"
"Paperd, Todd","Fr","1997733",2018,"13","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1997733"
"Pimentel, Wyatt","So","1997737",2018,"28","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1997737"
"Quinlan, Jon","Fr","2009326",2018,"14","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=2009326"
"Schwellenbach, Mason","So","1867061",2018,"19","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1867061"
"Somerville, Caleb","Fr","1997736",2018,"26","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1997736"
"Swiss, Jordan","Jr","1751762",2018,"6","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1751762"
"Turner, Adam","Sr","1751773",2018,"33","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1751773"
"Wilson, Craig","Jr","1751767",2018,"15","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1751767"
"Winters, Collin","So","1867048",2018,"5","1B","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1867048"
"Wise, Brandon","So","1867062",2018,"21","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&org_id=591&stats_player_seq=1867062"
