"name","class","player_id","season","number","position","player_url"
"Allen, Andrew","Sr","1530460",2014,"7","3B","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1530460"
"Bain, Trae","So","1425165",2014,"3","3B","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1425165"
"Bryan, Kyle","Sr","1327769",2014,"11","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1327769"
"Christie, Teddy","Fr","1530461",2014,"30","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1530461"
"Coy, Andrew","Fr","1530462",2014,"29","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1530462"
"Cunningham, Cody","Sr","1425187",2014,"14","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1425187"
"Davis, Samuel","Jr","1530463",2014,"17","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1530463"
"Embry, Will","Jr","1327779",2014,"26","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1327779"
"Flores, Michael","Jr","1425164",2014,"2","SS","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1425164"
"Flowers, Parks","Fr","1530464",2014,"13","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1530464"
"Hatch, Colin","Sr","1327794",2014,"32","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1327794"
"Martin, Jim","Jr","1327774",2014,"20","1B","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1327774"
"Mathis, Daniel","So","1425188",2014,"33","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1425188"
"Nash, Marcus","Fr","1530465",2014,"22","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1530465"
"Roof, Derek","Sr","1425167",2014,"6","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1425167"
"Royer, Brad","Sr","1425168",2014,"5","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1425168"
"Russell, Wacey","Sr","1327777",2014,"24","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1327777"
"Self, Cody","Sr","1425166",2014,"4","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1425166"
"Shoemaker, Davis","Fr","1530466",2014,"8","SS","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1530466"
"Smith, Hunter","Jr","1327776",2014,"23","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1327776"
"Thompson, Preston","Jr","1530467",2014,"10","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1530467"
"Tidwell, Tyler","So",NA,2014,"12","C",NA
"Warnimont, Caleb","Jr","1530468",2014,"1","2B","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1530468"
"White, Cole","Fr","1530469",2014,"15","2B","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1530469"
"Wilson, Andrew","Fr","1530470",2014,"25","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1530470"
"Wilson, Chaz","Fr","1530471",2014,"44","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1530471"
"Wylie, Zach","So","1425170",2014,"21","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30153&stats_player_seq=1425170"
